mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__l2_regularization,param_clf__learning_rate,param_clf__max_bins,param_clf__max_depth,param_clf__max_features,param_clf__max_iter,param_clf__max_leaf_nodes,param_clf__min_samples_leaf,params,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,split3_test_average_precision,split4_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,split0_train_average_precision,split1_train_average_precision,split2_train_average_precision,split3_train_average_precision,split4_train_average_precision,mean_train_average_precision,std_train_average_precision,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,mean_train_roc_auc,std_train_roc_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall
1.4552964210510253,0.2835367022935112,0.17060961723327636,0.023138317605255317,0.1,0.11807374015240298,255,4,1.0,450,7,10,"{'clf__l2_regularization': 0.1, 'clf__learning_rate': np.float64(0.11807374015240298), 'clf__max_bins': 255, 'clf__max_depth': 4, 'clf__max_features': 1.0, 'clf__max_iter': 450, 'clf__max_leaf_nodes': 7, 'clf__min_samples_leaf': 10}",0.7493686346220496,0.7238485476452907,0.7607999963752026,0.7333306529224946,0.7871994463856876,0.750909455590145,0.022174162443011236,12,0.8439939908656973,0.8237214674087247,0.8075825127995132,0.8283686932260044,0.8173233938980132,0.8241980116395904,0.01210650770137361,0.8944728682170543,0.9222209302325581,0.9363759689922481,0.918791294358911,0.9396158323632129,0.922295378832797,0.016028957403992614,10,0.9578301241192932,0.9528575604552816,0.9464355025897307,0.9532768731220316,0.946174085160963,0.95131482908946,0.004447781051444596,0.6417112299465241,0.6206896551724138,0.6863270777479893,0.6205128205128205,0.7021276595744681,0.6542736885908431,0.03389076917564169,10,0.7191460973982655,0.6712243629583592,0.7045300878972278,0.7142857142857143,0.6904607397793641,0.6999294004637863,0.01737921877317983,0.5357142857142857,0.4921875,0.5739910313901345,0.5062761506276151,0.584070796460177,0.5384479528384424,0.03613109902375251,12,0.6002227171492205,0.5357142857142857,0.5933940774487472,0.5957683741648107,0.5659574468085107,0.5782113802571149,0.024410748494916815,0.8,0.84,0.8533333333333334,0.8013245033112583,0.88,0.8349315673289184,0.030806255121946284,32,0.8968386023294509,0.8985024958402662,0.8668885191347754,0.8916666666666667,0.8851913477537438,0.8878175263449805,0.011448007888245825
2.2047497272491454,0.3489078765835992,0.20046515464782716,0.020534005817606674,0.0001,0.019433763557610218,255,7,1.0,200,15,50,"{'clf__l2_regularization': 0.0001, 'clf__learning_rate': np.float64(0.019433763557610218), 'clf__max_bins': 255, 'clf__max_depth': 7, 'clf__max_features': 1.0, 'clf__max_iter': 200, 'clf__max_leaf_nodes': 15, 'clf__min_samples_leaf': 50}",0.6810206545136661,0.6262680523602873,0.6852450692051695,0.6869048318636447,0.7220750475241186,0.6803027310933772,0.03076752437362378,34,0.7323950019445744,0.730935183642255,0.7229732044394255,0.7288285419719838,0.6782254419732842,0.7186714747943046,0.020475772096319837,0.8745,0.8725310077519379,0.9101434108527131,0.8953118133668442,0.9063523476911137,0.8917677159325217,0.015691801866636292,38,0.9215562292436786,0.9195639611700106,0.9190320766533189,0.9168171464573035,0.9076776178502535,0.9169294062749132,0.004865753473432851,0.563855421686747,0.575,0.6052009456264775,0.6134020618556701,0.6198547215496368,0.5954626301437063,0.02204253606364416,27,0.617876424715057,0.6352793471437539,0.5832363213038417,0.6479250334672021,0.5876168224299065,0.6143867898119523,0.025536143534249916,0.44150943396226416,0.46,0.46886446886446886,0.5021097046413502,0.4866920152091255,0.4718351245354418,0.021003903816690206,23,0.4831144465290807,0.5100806451612904,0.4485228290062668,0.5413870246085011,0.4527452745274527,0.4871700439665183,0.03509842299229494,0.78,0.7666666666666667,0.8533333333333334,0.7880794701986755,0.8533333333333334,0.8082825607064018,0.03741415499905915,50,0.8569051580698835,0.8419301164725458,0.8336106489184693,0.8066666666666666,0.8369384359400999,0.835210205213533,0.016346908829072564
1.4720977783203124,0.17906977801326862,0.17455110549926758,0.017342309277673666,1e-05,0.09734096464338715,128,,0.75,300,7,5,"{'clf__l2_regularization': 1e-05, 'clf__learning_rate': np.float64(0.09734096464338715), 'clf__max_bins': 128, 'clf__max_depth': None, 'clf__max_features': 0.75, 'clf__max_iter': 300, 'clf__max_leaf_nodes': 7, 'clf__min_samples_leaf': 5}",0.7596213954627081,0.7649857041457913,0.7766079931468252,0.7417518544875185,0.7831703631918032,0.7652274620869293,0.01438092326190058,3,0.8615194166424691,0.8455175985633758,0.845630387468684,0.8469292641764846,0.8430093155761973,0.8485211964854422,0.006621890728989026,0.9057558139534883,0.9321627906976744,0.9410310077519378,0.9170489326106901,0.9396313542879318,0.9271259798603445,0.013662609749308614,2,0.9635073500729344,0.9567629672864404,0.9579211107336134,0.9571944363671611,0.9535106508054086,0.9577793030531115,0.0032381177101001076,0.6666666666666666,0.7032967032967034,0.6772486772486772,0.6237623762376238,0.6846361185983828,0.6711221084096108,0.026526074213112233,5,0.7364909939959974,0.7282683093771389,0.726158038147139,0.7023886378308586,0.7047244094488189,0.7196060777599906,0.013571787850079689,0.5555555555555556,0.5981308411214953,0.5614035087719298,0.4980237154150198,0.5746606334841629,0.5575548508696325,0.033171627098145445,5,0.6146993318485523,0.6186046511627907,0.6147635524798154,0.5732349841938883,0.581798483206934,0.6006202005783962,0.019109703945324314,0.8333333333333334,0.8533333333333334,0.8533333333333334,0.8344370860927153,0.8466666666666667,0.8442207505518764,0.00878995767314591,20,0.9184692179700499,0.8851913477537438,0.8868552412645591,0.9066666666666666,0.8935108153078203,0.898138657792568,0.01266825847807454
1.193629550933838,0.06971784945411852,0.15696444511413574,0.012500172785518744,0.05,0.015277082344936613,64,2,0.9,200,31,10,"{'clf__l2_regularization': 0.05, 'clf__learning_rate': np.float64(0.015277082344936613), 'clf__max_bins': 64, 'clf__max_depth': 2, 'clf__max_features': 0.9, 'clf__max_iter': 200, 'clf__max_leaf_nodes': 31, 'clf__min_samples_leaf': 10}",0.6066857735858654,0.5856134767465678,0.6551123479219619,0.6559902464914187,0.6849285741609878,0.6376660837813604,0.03617497363454557,48,0.6514978528483224,0.6641855504843888,0.65259686556695,0.6589276644172408,0.6323595587445552,0.6519134984122915,0.010796278018258316,0.8813604651162791,0.8723100775193797,0.9085310077519381,0.8868274368008389,0.9108498253783469,0.8919757625133565,0.01520681003165411,37,0.8983168928264798,0.9027396650337473,0.8963829433008199,0.900568236890569,0.8921858451480739,0.898038716639938,0.003621393669326191,0.5283018867924528,0.5383022774327122,0.5829787234042553,0.5534591194968553,0.574468085106383,0.5555020184465317,0.020758288411812726,48,0.5628299894403379,0.5618448637316562,0.5521920668058455,0.5533929510783798,0.5568956476140535,0.5574311037340546,0.0043051165430927985,0.3853211009174312,0.39039039039039036,0.428125,0.4049079754601227,0.421875,0.4061238933535888,0.016816205274745297,50,0.41221964423820573,0.41009946442234124,0.4022813688212928,0.404304381245196,0.40658499234303214,0.40709797021401356,0.003647120696985084,0.84,0.8666666666666667,0.9133333333333333,0.8741721854304636,0.9,0.8788344370860928,0.02575290130068615,1,0.8868552412645591,0.891846921797005,0.8801996672212978,0.8766666666666667,0.8835274542429284,0.8838191902384913,0.005253698316748884
1.4329768180847169,0.24747158223976057,0.17696986198425294,0.02474243031828567,0.0001,0.04039592603290162,64,4,0.6,200,31,50,"{'clf__l2_regularization': 0.0001, 'clf__learning_rate': np.float64(0.04039592603290162), 'clf__max_bins': 64, 'clf__max_depth': 4, 'clf__max_features': 0.6, 'clf__max_iter': 200, 'clf__max_leaf_nodes': 31, 'clf__min_samples_leaf': 50}",0.6774806931713515,0.6452482198380481,0.6789905972611195,0.6779094203355233,0.7280311685792937,0.6815320198370672,0.026512941291870974,33,0.7312819670381202,0.7347287236309997,0.714630882237594,0.7268877546035104,0.6751942504038341,0.7165447155828116,0.021763946856801338,0.8749728682170542,0.8793720930232558,0.9107558139534885,0.8950612524959717,0.9066938300349243,0.893371171544939,0.014262167853002335,34,0.9170809461446359,0.9177798007780323,0.9126586579087211,0.9140731317243386,0.9066586705592452,0.9136502414229947,0.003971577333238031,0.5446224256292906,0.5626477541371159,0.6082949308755761,0.5779816513761468,0.5953488372093023,0.5777791198454862,0.022663959537716216,38,0.5934819897084048,0.6108433734939759,0.5813424345847554,0.5896834701055099,0.5695216907675195,0.5889745917320331,0.013680116516120626,0.4146341463414634,0.4358974358974359,0.4647887323943662,0.4421052631578947,0.45714285714285713,0.4429136869868035,0.017496288992014847,39,0.4520905923344948,0.47875354107648727,0.44165946413137425,0.45479204339963836,0.4277360066833751,0.451006329525074,0.016818363904397362,0.7933333333333333,0.7933333333333333,0.88,0.8344370860927153,0.8533333333333334,0.8308874172185432,0.033908947255049574,34,0.8635607321131448,0.8435940099833611,0.8502495840266223,0.8383333333333334,0.8519134775374376,0.8495302273987798,0.008528323770087541
1.5656275272369384,0.07848091467874635,0.1698315143585205,0.014222062133424907,1.0,0.017752941250933397,64,5,0.75,150,15,5,"{'clf__l2_regularization': 1.0, 'clf__learning_rate': np.float64(0.017752941250933397), 'clf__max_bins': 64, 'clf__max_depth': 5, 'clf__max_features': 0.75, 'clf__max_iter': 150, 'clf__max_leaf_nodes': 15, 'clf__min_samples_leaf': 5}",0.7109057693629344,0.6832429268629395,0.6887942188101653,0.7289222195538465,0.7705859258127966,0.7164902120805364,0.031573840666152535,29,0.7586652987215908,0.7606507440364862,0.7661835697048707,0.7525407145737013,0.7488828771866703,0.7573846408446638,0.0060905216650012535,0.8997829457364341,0.9039496124031007,0.9210775193798451,0.9146936604244885,0.9287892898719441,0.9136586055631625,0.01069436966114916,27,0.9355560685651896,0.9333452874257466,0.9337373042214885,0.9343287777454686,0.9271861523805194,0.9328307180676825,0.00291957257172009,0.5587583148558758,0.5799086757990868,0.6267281105990783,0.6150234741784038,0.6153846153846154,0.599160638163412,0.025603899403520338,24,0.6077777777777778,0.6089926010244735,0.6004540295119183,0.6402439024390244,0.5986696230598669,0.6112275867626121,0.015050680429191096,0.4186046511627907,0.4409722222222222,0.4788732394366197,0.4763636363636364,0.4731182795698925,0.45758640575103227,0.023843494153620384,30,0.4562135112593828,0.46280276816608995,0.45564168819982775,0.5048076923076923,0.4488778054862843,0.46566869308385545,0.0200596609266966,0.84,0.8466666666666667,0.9066666666666666,0.8675496688741722,0.88,0.868176600441501,0.0239927867567126,4,0.9101497504159733,0.8901830282861897,0.8801996672212978,0.875,0.8985024958402662,0.8908069883527453,0.01261846859376587
2.3408482551574705,0.11974646335332502,0.2528393745422363,0.009136237416658454,0.01,0.027279265177816855,255,5,0.9,300,7,20,"{'clf__l2_regularization': 0.01, 'clf__learning_rate': np.float64(0.027279265177816855), 'clf__max_bins': 255, 'clf__max_depth': 5, 'clf__max_features': 0.9, 'clf__max_iter': 300, 'clf__max_leaf_nodes': 7, 'clf__min_samples_leaf': 20}",0.7392958494231423,0.7011973270605742,0.7528755048678706,0.7245853741810101,0.7848819966564093,0.7405672104378013,0.028008275760864492,17,0.7857599645949929,0.7832373254228885,0.7677339351256877,0.7817944633264982,0.7681151024941882,0.7773281581928511,0.007783199980364681,0.8948837209302326,0.9145116279069767,0.9328100775193798,0.9129320247631235,0.9376872332169188,0.9185649368673262,0.015346304118186976,16,0.9421484843469146,0.938776655932182,0.9362222551322743,0.9389834738780654,0.9322898397020765,0.9376841417983025,0.0032877899296407287,0.5701357466063348,0.5924170616113744,0.6536585365853659,0.5947242206235012,0.6378896882494005,0.6097650507351953,0.031033189904395374,22,0.6260069044879172,0.627893175074184,0.629874025194961,0.6562107904642409,0.6115892139988526,0.6303148218440311,0.014462824113299261,0.4315068493150685,0.45955882352941174,0.5153846153846153,0.46616541353383456,0.49812734082397003,0.47414860851738005,0.029564508185979183,21,0.47845206684256814,0.48800738007380073,0.4924953095684803,0.5261569416498993,0.46672504378283713,0.49036734838351714,0.019959584947749093,0.84,0.8333333333333334,0.8933333333333333,0.8211920529801324,0.8866666666666667,0.854905077262693,0.02935847031687636,9,0.9051580698835274,0.8801996672212978,0.8735440931780366,0.8716666666666667,0.8868552412645591,0.8834847476428175,0.012086095537655904
2.9715935230255126,0.5977612472566595,0.2996510982513428,0.04492689518323618,0.0,0.02932262758546261,128,,0.75,600,15,30,"{'clf__l2_regularization': 0.0, 'clf__learning_rate': np.float64(0.02932262758546261), 'clf__max_bins': 128, 'clf__max_depth': None, 'clf__max_features': 0.75, 'clf__max_iter': 600, 'clf__max_leaf_nodes': 15, 'clf__min_samples_leaf': 30}",0.7374784912111358,0.7123426831657913,0.7198721326627481,0.7124632242176447,0.791428810065195,0.734717068264503,0.02979955003414026,21,0.8099522349611479,0.8087979258163416,0.7983835465390596,0.8283135503628515,0.7735024033666966,0.8037899322092195,0.017950070929785837,0.90034496124031,0.9078062015503877,0.9197790697674417,0.9138263343330071,0.9307605743112145,0.9145034282404723,0.01037208446918096,25,0.9497928118638802,0.9534540551475678,0.9425463087988895,0.957315353300378,0.9351306512021498,0.9476478360625731,0.007930693387674525,0.6492146596858639,0.6041666666666666,0.6509186351706037,0.675603217158177,0.6840731070496083,0.6527952571461839,0.027855301594944183,12,0.7033398821218074,0.7011118378024853,0.7046070460704607,0.7337837837837838,0.6722472633612363,0.7030179626279548,0.019491710109445642,0.5344827586206896,0.49572649572649574,0.5367965367965368,0.5675675675675675,0.5622317596566524,0.5393610236735884,0.025506962872457017,11,0.5799136069114471,0.5775862068965517,0.5942857142857143,0.6170454545454546,0.5483193277310925,0.5834300620740521,0.022481635004132066,0.8266666666666667,0.7733333333333333,0.8266666666666667,0.8344370860927153,0.8733333333333333,0.8268874172185431,0.03188215170357285,37,0.8935108153078203,0.891846921797005,0.8652246256239601,0.905,0.8685524126455907,0.8848269550748752,0.01536719332904376
1.1027087211608886,0.08255314585196867,0.14234471321105957,0.010153381070443931,0.05,0.016267349396260948,128,3,1.0,150,15,80,"{'clf__l2_regularization': 0.05, 'clf__learning_rate': np.float64(0.016267349396260948), 'clf__max_bins': 128, 'clf__max_depth': 3, 'clf__max_features': 1.0, 'clf__max_iter': 150, 'clf__max_leaf_nodes': 15, 'clf__min_samples_leaf': 80}",0.6116394716024396,0.5389827704643684,0.6133436142761798,0.6447911796703076,0.6744708681286605,0.6166455808283912,0.04517391905040126,50,0.6383399706105165,0.6367508255164239,0.6364184717784848,0.6222738623123117,0.6231234253099454,0.6313813111055364,0.007124126839049259,0.8711976744186045,0.8493565891472868,0.8942170542635658,0.8795226237192485,0.8946604578967792,0.877790879889097,0.01678916348003628,49,0.8919647688214039,0.8922406324924814,0.8838125133697086,0.8871360376078318,0.8824714939092984,0.8875250892401448,0.004035356477021821,0.5152838427947598,0.5454545454545454,0.5820568927789934,0.5627705627705628,0.5695067264573991,0.5550145140512522,0.02311445434128731,49,0.5646929824561403,0.5706182643221781,0.5466307277628032,0.5596890616324264,0.5513513513513514,0.5585964775049799,0.00870121245399313,0.38311688311688313,0.41379310344827586,0.43322475570032576,0.4180064308681672,0.42905405405405406,0.41543904543754123,0.017639289777334147,47,0.42109566639411283,0.43287435456110157,0.4043062200956938,0.4196502914238135,0.40832666132906326,0.41725063876075696,0.010117691570633462,0.7866666666666666,0.8,0.8866666666666667,0.8609271523178808,0.8466666666666667,0.8361854304635763,0.0375016204104873,31,0.8569051580698835,0.8369384359400999,0.8435940099833611,0.84,0.848585690515807,0.8452046589018302,0.007019204539437952
1.2435202598571777,0.3754453902258695,0.15732269287109374,0.028315689937653866,0.001,0.07058169861214345,255,,0.9,300,7,80,"{'clf__l2_regularization': 0.001, 'clf__learning_rate': np.float64(0.07058169861214345), 'clf__max_bins': 255, 'clf__max_depth': None, 'clf__max_features': 0.9, 'clf__max_iter': 300, 'clf__max_leaf_nodes': 7, 'clf__min_samples_leaf': 80}",0.6560550959794449,0.5903138488603651,0.6399705142351999,0.6639933713701386,0.7018318343298405,0.6504329329549978,0.03627976777067624,42,0.7271812982988494,0.6963666473156835,0.7170421714294232,0.7143702394129198,0.6660204785226512,0.7041961669959055,0.02151990896493811,0.8645968992248063,0.860267441860465,0.9038255813953489,0.8963140568503342,0.897524253007373,0.8845056464676656,0.01825393840776133,46,0.9203642078018119,0.9104897402912926,0.9134552747553769,0.9139989822622856,0.8948599769986922,0.9106336364218919,0.008518218740859652,0.5617433414043583,0.5558194774346793,0.6139088729016786,0.6201923076923077,0.6004728132387707,0.5904273625343588,0.02667854249579596,30,0.6280193236714976,0.6044021415823915,0.6158499697519662,0.626641651031895,0.571917808219178,0.6093661788513856,0.020569119690435095,0.44106463878326996,0.4317343173431734,0.4794007490636704,0.4867924528301887,0.4652014652014652,0.46083872464435355,0.021331944395439856,26,0.4928909952606635,0.4703703703703704,0.4838403041825095,0.5015015015015015,0.43527367506516074,0.4767753692760411,0.023170770182688743,0.7733333333333333,0.78,0.8533333333333334,0.8543046357615894,0.8466666666666667,0.8215275938189845,0.036783529793526684,41,0.8652246256239601,0.8452579034941764,0.8469217970049917,0.835,0.8336106489184693,0.8452029950083194,0.011334077666589365
